G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.5518142	0.3755100	0.6340682	0.0553438	0.0521361	0.6448571	0.4196416	0.6870263	0.1886118	0.3706752	0.1640611	0.3265162	0.3338019	0.1904277	0.3754342	0.6184472	0.2598945	0.4990546	0.4834251	0.2319021	0.3004916	0.7071278	0.3603413	0.4882813	0.5193687	0.2515499	0.6004092	0.1158310	0.0008208	0.1987401	0.3091040	0.7820034	0.1907570	0.1490489	0.2633320	0.5908755	0.0364618	0.6743901	0.2404206	0.7178149	0.0609548	0.4967735	0.0709959	0.0391450	0.7158024	0.3997619	0.2544604	0.6339954	0.5687518	0.1861954	0.6155579	0.4053230	0.3574787	0.5611686	0.4867058	0.1623921	0.0255210	0.0485603	0.6534727	0.0340264	0.1152564	0.2179824	0.4839525	0.2654699	0.5004820	0.0196384	0.0640746	0.2840115	0.0251966	0.6487476	0.4070271	0.2386797	0.0362816	0.5037475	0.0570869	0.6542404	0.4399455	0.3330755	0.4032723	0.3433664	0.4706686	0.7054330	0.0223500	0.4769824	0.5870299	0.0113501	0.6560711	0.0596464	0.6408093	0.6822321	0.7233928	0.0567364	0.5062055	0.0732896	0.5913342	0.4817073	0.6642155	0.0195732	0.6548364
0.3011771	0.0000000	0.6166351	0.4340739	0.1197259	0.7398164	0.5620761	0.4248348	0.7185571	0.2114311	0.3601483	0.1620754	0.1000560	0.2975289	0.1260018	0.3012829	0.5678672	0.3016402	0.5533058	0.4448817	0.1437105	0.1282136	0.5419812	0.6133364	0.5154645	0.7380203	0.2784880	0.6147537	0.0498319	0.0097083	0.2087982	0.4564724	0.7101346	0.2134829	0.1400065	0.0885088	0.5374480	0.0387246	0.7718270	0.2667322	0.5819626	0.0662504	0.5265880	0.1084390	0.0513295	0.7400903	0.4220341	0.3495836	0.5174260	0.5502823	0.1204592	0.7276834	0.4792482	0.4592007	0.5048634	0.3057470	0.1154844	0.0192536	0.0531431	0.6675429	0.0086891	0.1674728	0.2117767	0.4035451	0.2476662	0.5968976	0.0345909	0.0596720	0.2588597	0.0543946	0.6218431	0.2805317	0.2131521	0.0226532	0.3508767	0.0928542	0.5468790	0.6036654	0.3733020	0.3196948	0.4468810	0.3586600	0.7304133	0.0615501	0.5592339	0.6183158	0.0996951	0.8495652	0.1131446	0.5879305	0.6360565	0.5927913	0.1001381	0.4778383	0.0694059	0.5154834	0.5860086	0.6828937	0.0269443	0.4559257
0.3272677	0.3209396	0.0000000	0.4445835	0.0851756	0.6730610	0.5803880	0.5000831	0.6160865	0.1633072	0.3566201	0.1277782	0.2820419	0.3020733	0.1697402	0.2263221	0.6118208	0.2672577	0.6078012	0.4379973	0.2263472	0.2941704	0.5029562	0.4300314	0.5077649	0.6328624	0.3192200	0.3933511	0.0484967	0.0053110	0.2400231	0.3340569	0.7186110	0.2721026	0.1641155	0.1045504	0.5682157	0.0490378	0.6007450	0.2395167	0.6184821	0.0273302	0.4960284	0.0338503	0.0401564	0.7041756	0.3039828	0.2005646	0.5430514	0.5492724	0.1540924	0.6792847	0.4775853	0.4787651	0.7018396	0.4419172	0.0529461	0.0366105	0.0843579	0.7212072	0.0141355	0.1029205	0.2855108	0.5199129	0.2900111	0.7400064	0.0291078	0.0705909	0.2082310	0.0660185	0.5332880	0.2897427	0.2039587	0.0705776	0.4574133	0.0418243	0.5187738	0.4919665	0.2930301	0.3963343	0.4741295	0.3018416	0.5837447	0.0430659	0.6099317	0.6874038	0.1084123	0.7834791	0.1367409	0.5712034	0.6997930	0.8142510	0.0495628	0.6748946	0.0745807	0.6076427	0.4871853	0.6195884	0.0230126	0.5672776
0.2950298	0.2518853	0.6007541	0.0000000	0.0757153	0.5882725	0.5798749	0.5003081	0.8117690	0.2768390	0.2918136	0.1911231	0.1349614	0.2312108	0.1673150	0.2485815	0.5192970	0.2399495	0.4562052	0.4065605	0.2062658	0.2344121	0.4934026	0.4557644	0.6043129	0.6930946	0.2757220	0.5021883	0.0586753	0.0035386	0.2072271	0.3908765	0.7735011	0.2230190	0.1424860	0.1210832	0.6060866	0.0403597	0.6463465	0.2731717	0.6469153	0.0305827	0.6289132	0.0708187	0.0638325	0.6630086	0.3600257	0.2856026	0.3629425	0.6348648	0.1354621	0.7069829	0.4966057	0.5735288	0.8031412	0.3272846	0.0852880	0.0090882	0.0763429	0.6743823	0.0087915	0.0690489	0.3019883	0.4333824	0.2324185	0.6392879	0.0348749	0.0589724	0.2272445	0.0491182	0.6116574	0.3647062	0.2705588	0.0314795	0.4805475	0.0676781	0.6134531	0.4872372	0.3316472	0.3881420	0.3399942	0.0033667	0.6898187	0.0454692	0.5732413	0.7599427	0.0180227	0.7663421	0.0685678	0.8138900	0.5993397	0.6424646	0.0825463	0.4135284	0.0829165	0.5259887	0.5348013	0.6011787	0.0318025	0.5445160
0.3333068	0.2541092	0.6589251	0.2920898	0.0000000	0.5758862	0.4427686	0.5154694	0.7082033	0.1949392	0.3639830	0.2026305	0.1786542	0.3023278	0.1579080	0.1452963	0.5230019	0.3211204	0.5141110	0.4096790	0.2034835	0.2321904	0.5522462	0.4711811	0.4984048	0.6122561	0.2195381	0.5511193	0.0841621	0.0028031	0.2158287	0.3958750	0.7350943	0.3607440	0.1383700	0.0994960	0.5123451	0.1086777	0.6509416	0.2911498	0.7623296	0.0456051	0.5955500	0.0314181	0.0340134	0.6801181	0.3403143	0.2335873	0.5657620	0.5640365	0.1238083	0.7691437	0.4678975	0.6281458	0.6520037	0.4826875	0.1335976	0.0217300	0.0344408	0.7217718	0.0192402	0.1283521	0.5957792	0.3360899	0.2525998	0.5994632	0.0334642	0.0731817	0.2804362	0.0490893	0.5751423	0.4369030	0.1566260	0.0458590	0.3437892	0.0502059	0.7726463	0.5092474	0.3975873	0.2249918	0.4686102	0.3072465	0.7103404	0.0249077	0.7209735	0.6439309	0.2670586	0.6498192	0.2606809	0.6636608	0.7039766	0.6837782	0.0500083	0.4579473	0.1124135	0.4566454	0.4064331	0.7159929	0.0573932	0.6152083
0.2709391	0.1997625	0.6648688	0.5621171	0.1002039	0.0000000	0.5331856	0.5366176	0.7139888	0.2442301	0.3536444	0.1178727	0.1542511	0.3557899	0.1252947	0.2557178	0.4066890	0.2470420	0.3788071	0.5649790	0.1804319	0.1803443	0.5604192	0.3991054	0.7022080	0.6520998	0.2805120	0.5032594	0.0713825	0.0128756	0.2143499	0.3392110	0.6760446	0.2751929	0.1504812	0.1147988	0.5645476	0.0238910	0.6426934	0.3127793	0.8033321	0.0373394	0.4952190	0.0459578	0.0460750	0.5854234	0.3116699	0.3059505	0.6477627	0.5353605	0.1356024	0.5309598	0.4523748	0.5810721	0.7751198	0.3141013	0.1077244	0.0213894	0.0658496	0.7395821	0.0126182	0.1130069	0.1798404	0.3974207	0.2408925	0.6002737	0.0224220	0.0842714	0.2771577	0.0488963	0.6083145	0.3297589	0.2363019	0.0508646	0.4260383	0.0789538	0.6628171	0.5400830	0.3279470	0.4116972	0.3870167	0.2380295	0.7200619	0.0433203	0.5773820	0.5784170	0.0566027	0.7134046	0.0723946	0.7027581	0.6868623	0.6314538	0.0548635	0.4657450	0.1143845	0.5692748	0.6097693	0.6234298	0.0295438	0.6270630
0.3432831	0.3104814	0.5981284	0.4386688	0.1184230	0.5455266	0.0000000	0.3572700	0.6993039	0.1769209	0.3214516	0.1002998	0.2669469	0.3032936	0.1481298	0.2111802	0.5209668	0.2083160	0.3844959	0.3777603	0.1846942	0.3363993	0.4654774	0.3922462	0.6769885	0.5807662	0.2357610	0.4569046	0.0746841	0.0020393	0.1518124	0.3539166	0.7153912	0.3190895	0.1773561	0.2081561	0.6528533	0.0293504	0.6837641	0.3650847	0.5965026	0.0709211	0.5853607	0.0643715	0.0719744	0.6452290	0.3611186	0.2370553	0.5458578	0.5529486	0.1923806	0.6747073	0.4075263	0.7377567	0.6303867	0.3879621	0.0907986	0.0201691	0.0476492	0.7730820	0.0167145	0.1108390	0.3175291	0.3948962	0.2486468	0.5236031	0.0592952	0.0830477	0.2165045	0.0329791	0.6350107	0.4416363	0.2440401	0.0379138	0.3896421	0.0546342	0.5735664	0.4436185	0.3672300	0.3864587	0.4631735	0.3022296	0.7930137	0.0628082	0.4986994	0.7298209	0.0608498	0.7378546	0.0710487	0.5670382	0.6150892	0.7052832	0.0775696	0.5601059	0.0644062	0.4920135	0.6061510	0.8809204	0.0206697	0.6682252
0.0034311	0.4813887	0.4166155	0.6659790	0.0405938	0.0251861	0.5503860	0.0000000	0.7276736	0.2528526	0.4437626	0.0814098	0.1805352	0.2284923	0.1707382	0.2625602	0.5991676	0.3349656	0.4377965	0.6160114	0.1540650	0.0724532	0.6269788	0.7950753	0.6290911	0.5857412	0.3209689	0.5861394	0.0623346	0.0025340	0.2691788	0.2935603	0.7076533	0.2733124	0.2336181	0.1012922	0.6145399	0.0877363	0.6866592	0.2010012	0.7059051	0.0290164	0.5012231	0.0938795	0.0927014	0.7425253	0.2811357	0.3132369	0.6515312	0.5790062	0.1604720	0.6858903	0.4791606	0.4392261	0.5480683	0.5111513	0.0816630	0.0431582	0.0308139	0.5865040	0.0108074	0.0951076	0.7101656	0.4902209	0.1972675	0.5719475	0.0527488	0.0788638	0.3627064	0.0197530	0.6134827	0.3972763	0.2395594	0.0691060	0.4973223	0.0710986	0.4797530	0.4608660	0.2512390	0.6025547	0.5134079	0.3939319	0.7016624	0.0308608	0.5506126	0.6257077	0.1271924	0.7287054	0.3862457	0.7080877	0.6997402	0.6938805	0.0615803	0.4688888	0.1045485	0.5205752	0.6068951	0.6627659	0.0312919	0.6139006
0.3317981	0.3118440	0.7368628	0.4078225	0.1453375	0.5715484	0.6066416	0.5029450	0.0000000	0.6803554	0.6838710	0.3040336	0.1509086	0.2508534	0.1829086	0.2656201	0.6149246	0.2621585	0.5533639	0.4950650	0.2440494	0.0821735	0.4343181	0.5427466	0.6971377	0.5755548	0.3008079	0.5267790	0.0707283	0.0056645	0.1911315	0.3345701	0.7867328	0.2589137	0.2027619	0.0427407	0.7005241	0.2487374	0.6965514	0.2626634	0.6307934	0.0444204	0.4662702	0.0289540	0.0313217	0.6884579	0.4768984	0.2337448	0.4990157	0.5644907	0.1108180	0.5718779	0.3898185	0.5551798	0.5904522	0.2960720	0.0883252	0.0198924	0.0442964	0.6716699	0.0173681	0.0924536	0.5105215	0.4242707	0.2137926	0.5613163	0.0766471	0.0350431	0.3076642	0.0362952	0.7223651	0.3304045	0.2028569	0.0405550	0.3398098	0.0530331	0.7045737	0.5131869	0.4310863	0.3301411	0.3269113	0.3299180	0.7400307	0.0622865	0.7223335	0.6030937	0.3941766	0.7943559	0.1688964	0.6118530	0.6207812	0.6110675	0.0690353	0.4630319	0.0932970	0.5778963	0.5561663	0.5842065	0.0467198	0.5830926
0.4141566	0.2933136	0.6497223	0.4504845	0.0987242	0.6459645	0.4987279	0.4419768	0.7952406	0.0000000	0.3085935	0.1312086	0.1567474	0.3488328	0.1604013	0.1902793	0.4924377	0.2716710	0.5857782	0.5647504	0.1456922	0.0461286	0.5800697	0.6316199	0.5560575	0.6920377	0.2190223	0.4043762	0.0458610	0.0117165	0.1530884	0.3971747	0.6805051	0.2644917	0.1669762	0.1589445	0.6382985	0.0351474	0.6482488	0.2228104	0.6446421	0.0314210	0.5676267	0.0429068	0.0399416	0.5368874	0.3819747	0.2144480	0.5438892	0.6337776	0.1187865	0.5960345	0.4421307	0.5135367	0.6975661	0.3756260	0.0825039	0.0286786	0.0365626	0.7515933	0.0007825	0.0838825	0.3153466	0.4005952	0.1350127	0.5458428	0.0513032	0.0506453	0.2567328	0.0284192	0.5565168	0.2581530	0.1473724	0.0254145	0.4572260	0.0877661	0.6617580	0.5651945	0.2805573	0.4215936	0.4083276	0.2171343	0.8148844	0.0560567	0.5830759	0.6561097	0.0581795	0.7756909	0.0461773	0.6019733	0.5716551	0.7322659	0.0387216	0.5861407	0.0646496	0.5163881	0.4376648	0.6456691	0.0126237	0.6521625
